seller_id,seller_name,city,rating,total_products,fulfilment_type,join_date
SELL00207,Dube and Sons,Ahmedabad,4.2,83,Platform Fulfilled,2019-09-22
SELL00208,"Anne, Borah and Prakash",Delhi,4.7,463,Seller Fulfilled,2023-05-10
SELL00209,Kari-Srinivas,Surat,4.8,229,Seller Fulfilled,2020-01-18
SELL00210,Datta-Krishnamurthy,Surat,3.9,475,Seller Fulfilled,2019-11-01
SELL00211,Rau PLC,Delhi,4.6,136,Platform Fulfilled,2022-09-29
SELL00212,Bhargava-Sandhu,Pune,2.9,491,Seller Fulfilled,2019-03-06
SELL00213,Wali PLC,Pune,3.6,55,Seller Fulfilled,2019-01-16
SELL00214,Basu-Rastogi,Mumbai,4.4,312,Platform Fulfilled,2022-08-31
SELL00215,De-Nayar,Ahmedabad,3.0,247,Seller Fulfilled,2019-03-14
SELL00216,Grewal Group,Bangalore,3.7,226,Seller Fulfilled,2022-04-07
SELL00217,Venkataraman-Jain,Hyderabad,3.2,39,Seller Fulfilled,2019-12-14
SELL00218,"Subramanian, Konda and Merchant",Hyderabad,4.6,158,Seller Fulfilled,2023-08-19
SELL00219,"Din, Naidu and Buch",Bangalore,4.7,466,Platform Fulfilled,2023-09-20
SELL00220,"Soni, Lanka and Pai",Mumbai,3.5,127,Platform Fulfilled,2021-04-25
SELL00221,Pandya Inc,Chennai,4.1,71,Seller Fulfilled,2022-01-18
SELL00222,Khanna-Loyal,Kolkata,3.6,119,Seller Fulfilled,2022-01-25
SELL00223,Gade Group,Kolkata,4.6,466,Seller Fulfilled,2020-04-29
SELL00224,Jayaraman Ltd,Hyderabad,4.0,102,Seller Fulfilled,2022-08-14
SELL00225,Talwar-Sura,Surat,3.2,17,Seller Fulfilled,2023-01-29
SELL00226,"Mohan, Panchal and Amble",Ahmedabad,2.8,425,Seller Fulfilled,2021-05-15
SELL00227,"Morar, Sachdeva and Prabhu",Pune,2.9,123,Seller Fulfilled,2022-02-15
SELL00228,Srinivasan-Varghese,Chennai,5.0,66,Seller Fulfilled,2019-09-26
SELL00229,Dhawan PLC,Delhi,5.0,245,Seller Fulfilled,2021-09-27
SELL00230,Kapur-Chaudry,Bangalore,3.8,358,Seller Fulfilled,2022-12-10
SELL00231,Sundaram-Saxena,Pune,3.6,356,Seller Fulfilled,2022-02-24
SELL00232,"Bhavsar, Ramesh and Doshi",Hyderabad,4.9,16,Seller Fulfilled,2020-02-14
SELL00233,"Dutta, Mahal and Bhargava",Mumbai,4.5,282,Seller Fulfilled,2021-12-17
SELL00234,"Singh, Chandran and Narayanan",Surat,3.8,294,Seller Fulfilled,2022-08-17
SELL00235,Saha-Barad,Delhi,3.6,342,Seller Fulfilled,2022-02-27
SELL00236,Nori-Samra,Chennai,4.6,363,Platform Fulfilled,2022-04-11
SELL00237,Lall Inc,Ahmedabad,3.8,179,Seller Fulfilled,2022-03-06
SELL00238,"Shere, Merchant and Sundaram",Kolkata,3.7,162,Platform Fulfilled,2023-05-18
SELL00239,Bassi Group,Ahmedabad,3.7,188,Seller Fulfilled,2022-11-24
SELL00240,"Atwal, Minhas and Dara",Bangalore,4.6,278,Seller Fulfilled,2023-06-27
SELL00241,Sekhon Ltd,Kolkata,3.8,218,Platform Fulfilled,2020-03-05
SELL00242,Chanda-Sethi,Surat,4.0,70,Seller Fulfilled,2021-12-13
SELL00243,"Kibe, Chatterjee and Batta",Chennai,2.8,406,Seller Fulfilled,2021-10-12
SELL00244,"Goel, Behl and Kala",Surat,4.6,496,Seller Fulfilled,2022-11-15
SELL00245,Palla Inc,Mumbai,4.2,357,Platform Fulfilled,2023-02-08
SELL00246,Balasubramanian-Vaidya,Delhi,4.6,457,Seller Fulfilled,2020-02-19
SELL00247,"Sule, Char and Bhasin",Surat,4.2,149,Seller Fulfilled,2021-11-28
SELL00248,"Kashyap, Sibal and Edwin",Mumbai,3.8,465,Seller Fulfilled,2023-03-08
SELL00249,Sankaran-Borra,Mumbai,4.9,260,Seller Fulfilled,2023-09-12
SELL00250,"Joshi, Mammen and Kumar",Bangalore,3.5,366,Seller Fulfilled,2022-08-01
SELL00251,Chandra Group,Bangalore,3.7,95,Seller Fulfilled,2022-05-21
SELL00252,"Palla, Venkataraman and Garg",Chennai,4.7,385,Seller Fulfilled,2020-12-20
SELL00253,Deo LLC,Surat,4.9,482,Platform Fulfilled,2020-05-30
SELL00254,Natarajan Ltd,Bangalore,3.9,209,Seller Fulfilled,2021-07-18
SELL00255,Dhar-Gara,Bangalore,4.0,473,Seller Fulfilled,2022-06-13
SELL00256,Bains Group,Kolkata,4.7,97,Platform Fulfilled,2021-02-10
SELL00257,Dani Ltd,Ahmedabad,2.9,408,Platform Fulfilled,2022-01-14
SELL00258,"Dora, Saraf and Bedi",Mumbai,3.1,198,Seller Fulfilled,2020-09-29
SELL00259,Sekhon LLC,Delhi,3.2,276,Platform Fulfilled,2019-06-03
SELL00260,Pai-Pau,Kolkata,3.9,136,Platform Fulfilled,2021-12-08
SELL00261,Borra-Modi,Delhi,4.2,17,Seller Fulfilled,2020-02-14
SELL00262,Chaudhary Inc,Delhi,3.6,431,Seller Fulfilled,2021-11-11
SELL00263,Desai LLC,Ahmedabad,3.7,242,Seller Fulfilled,2022-11-03
SELL00264,Tiwari-Wable,Hyderabad,4.5,13,Seller Fulfilled,2023-09-04
SELL00265,"Walia, Upadhyay and Virk",Chennai,3.3,259,Platform Fulfilled,2020-05-16
SELL00266,Sem-Natt,Chennai,4.0,487,Platform Fulfilled,2022-05-25
SELL00267,Deo-Handa,Bangalore,4.8,412,Seller Fulfilled,2022-04-18
SELL00268,"Walia, Barad and Shanker",Surat,3.3,394,Seller Fulfilled,2023-04-02
SELL00269,"Sama, Bhakta and Deshmukh",Delhi,3.8,136,Platform Fulfilled,2022-04-23
SELL00270,Dora and Sons,Chennai,3.4,341,Seller Fulfilled,2022-09-04
SELL00271,"Chaudhary, Oak and Shan",Hyderabad,2.4,308,Seller Fulfilled,2022-03-17
SELL00272,"Narula, Borah and Deol",Pune,4.6,365,Platform Fulfilled,2021-09-30
SELL00273,Varghese PLC,Surat,3.6,13,Platform Fulfilled,2022-07-28
SELL00274,"Sood, Walia and Doctor",Surat,3.1,440,Seller Fulfilled,2021-10-20
SELL00275,Nadkarni-Deshmukh,Pune,3.5,183,Seller Fulfilled,2022-09-10
SELL00276,Pathak LLC,Mumbai,3.8,340,Seller Fulfilled,2020-12-13
SELL00277,Vaidya-Ramaswamy,Kolkata,4.0,490,Platform Fulfilled,2022-06-01
SELL00278,Sodhi-Kapur,Surat,3.7,434,Platform Fulfilled,2022-04-16
SELL00279,Kumer-Chandra,Chennai,4.4,186,Platform Fulfilled,2022-06-17
SELL00280,Sinha-Setty,Kolkata,4.5,248,Seller Fulfilled,2022-08-22
SELL00281,Sethi-Palla,Chennai,4.3,157,Seller Fulfilled,2019-09-19
SELL00282,Sidhu Inc,Ahmedabad,4.8,192,Platform Fulfilled,2021-12-31
SELL00283,Nath and Sons,Kolkata,3.0,66,Seller Fulfilled,2023-05-03
SELL00284,"Sethi, Vohra and Brahmbhatt",Delhi,3.1,149,Platform Fulfilled,2023-01-23
SELL00285,Din-Kanda,Bangalore,3.7,362,Platform Fulfilled,2022-01-23
SELL00286,Ranganathan PLC,Surat,4.9,57,Seller Fulfilled,2021-03-10
SELL00287,Tata-Choudhary,Chennai,3.3,380,Seller Fulfilled,2020-12-12
SELL00288,Doshi LLC,Surat,4.1,100,Seller Fulfilled,2023-01-17
SELL00289,Bahl Group,Surat,4.6,120,Platform Fulfilled,2019-03-12
SELL00290,Cheema-Prashad,Pune,3.9,111,Seller Fulfilled,2023-05-09
SELL00291,"Chadha, Keer and Bail",Mumbai,3.6,390,Platform Fulfilled,2023-11-20
SELL00292,"Kulkarni, Thaker and Tandon",Chennai,4.4,308,Platform Fulfilled,2020-07-04
SELL00293,"De, Subramanian and Dixit",Delhi,3.4,452,Platform Fulfilled,2021-07-11
SELL00294,Ghosh-Issac,Bangalore,4.9,476,Seller Fulfilled,2021-08-27
SELL00295,Karan Ltd,Pune,4.2,214,Seller Fulfilled,2020-04-01
SELL00296,"Varughese, Guha and Nori",Chennai,3.6,201,Seller Fulfilled,2023-01-23
SELL00297,Suri and Sons,Surat,3.3,176,Seller Fulfilled,2019-07-11
SELL00298,Sagar and Sons,Hyderabad,4.6,55,Platform Fulfilled,2022-08-14
SELL00299,Chowdhury-Misra,Hyderabad,3.6,178,Platform Fulfilled,2021-02-24
SELL00300,Butala-De,Surat,3.5,471,Seller Fulfilled,2022-10-20
SELL00301,Yohannan PLC,Bangalore,3.9,114,Seller Fulfilled,2020-04-18
