product_id,seller_id,product_name,category,subcategory,price,avg_rating,image_count,base_return_rate
PROD000026,SELL01200,Fashion Product Exercitationem,Fashion,Womens Clothing,6247.26,3.2,8,0.22
PROD000027,SELL03945,Electronics Product Amet,Electronics,Headphones,56412.36,5.0,5,0.18
PROD000028,SELL00666,Sports Product Ipsa,Sports,Team Sports,13743.3,4.2,6,0.12
PROD000029,SELL04883,Home & Kitchen Product Eos,Home & Kitchen,Cookware,2884.08,3.9,3,0.1
PROD000030,SELL02464,Fashion Product Incidunt,Fashion,Mens Clothing,7934.54,5.0,3,0.22
PROD000031,SELL00886,Toys Product Voluptas,Toys,Action Figures,2683.01,4.6,2,0.14
PROD000032,SELL01914,Electronics Product A,Electronics,Cameras,128689.01,4.1,7,0.18
PROD000033,SELL00089,Electronics Product Neque,Electronics,Laptops,78347.82,4.4,6,0.18
PROD000034,SELL02218,Fashion Product Recusandae,Fashion,Accessories,5926.18,3.4,8,0.22
PROD000035,SELL00467,Electronics Product Dolor,Electronics,Smartphones,32193.99,4.9,2,0.18
PROD000036,SELL03594,Home & Kitchen Product Dolor,Home & Kitchen,Cookware,19146.78,3.6,1,0.1
PROD000037,SELL02289,Fashion Product Exercitationem,Fashion,Footwear,5133.35,4.0,7,0.22
PROD000038,SELL03612,Fashion Product Expedita,Fashion,Mens Clothing,2691.78,3.2,9,0.22
PROD000039,SELL04915,Books Product Enim,Books,Non-Fiction,910.07,3.4,2,0.03
PROD000040,SELL00596,Beauty Product Inventore,Beauty,Haircare,2983.8,3.4,3,0.08
PROD000041,SELL04403,Electronics Product Explicabo,Electronics,Headphones,102502.07,3.4,3,0.18
PROD000042,SELL03708,Sports Product Et,Sports,Fitness,9264.43,4.1,2,0.12
PROD000043,SELL01532,Fashion Product Officia,Fashion,Womens Clothing,5609.89,4.4,2,0.22
PROD000044,SELL04792,Sports Product Autem,Sports,Outdoor,13013.86,4.8,1,0.12
PROD000045,SELL02500,Fashion Product Aspernatur,Fashion,Footwear,2017.57,4.7,1,0.22
PROD000046,SELL00964,Grocery Product Incidunt,Grocery,Staples,245.41,3.8,2,0.02
PROD000047,SELL03974,Books Product Explicabo,Books,Academic,248.44,4.2,5,0.03
PROD000048,SELL04290,Electronics Product Suscipit,Electronics,Tablets,55166.78,3.6,6,0.18
PROD000049,SELL00898,Fashion Product Accusantium,Fashion,Accessories,2957.11,3.5,1,0.22
PROD000050,SELL02261,Electronics Product Occaecati,Electronics,Cameras,108617.84,3.6,6,0.18
PROD000051,SELL01226,Sports Product Eum,Sports,Outdoor,9490.56,3.5,1,0.12
PROD000052,SELL03503,Electronics Product Officia,Electronics,Cameras,129645.92,2.8,4,0.18
PROD000053,SELL01818,Electronics Product Excepturi,Electronics,Tablets,81839.06,4.3,5,0.18
PROD000054,SELL04630,Toys Product Iusto,Toys,Outdoor Toys,1323.82,4.3,4,0.14
PROD000055,SELL02969,Fashion Product Quae,Fashion,Footwear,1806.86,4.3,5,0.22
PROD000056,SELL01281,Sports Product Rem,Sports,Team Sports,6976.53,3.4,1,0.12
PROD000057,SELL02925,Books Product Maxime,Books,Fiction,818.47,4.4,3,0.03
PROD000058,SELL04037,Electronics Product Nulla,Electronics,Cameras,94078.26,3.0,7,0.18
PROD000059,SELL01745,Electronics Product Porro,Electronics,Laptops,89308.69,3.4,5,0.18
PROD000060,SELL02635,Fashion Product Repudiandae,Fashion,Mens Clothing,1748.96,4.0,8,0.22
PROD000061,SELL03491,Fashion Product Dolorem,Fashion,Womens Clothing,6676.21,4.8,3,0.22
PROD000062,SELL01200,Sports Product Distinctio,Sports,Yoga,11796.84,3.5,1,0.12
PROD000063,SELL02099,Electronics Product Explicabo,Electronics,Smartphones,141065.16,4.2,2,0.18
PROD000064,SELL04821,Toys Product Eos,Toys,Board Games,679.74,4.2,2,0.14
PROD000065,SELL04738,Home & Kitchen Product Repellendus,Home & Kitchen,Decor,19670.58,3.9,9,0.1
PROD000066,SELL01309,Electronics Product Ea,Electronics,Laptops,101782.14,4.4,1,0.18
PROD000067,SELL01199,Electronics Product Cupiditate,Electronics,Tablets,105076.59,2.7,2,0.18
PROD000068,SELL01129,Beauty Product Perferendis,Beauty,Haircare,3716.12,2.7,6,0.08
PROD000069,SELL03869,Grocery Product Iste,Grocery,Snacks,816.94,5.0,2,0.02
PROD000070,SELL02443,Toys Product Quidem,Toys,Action Figures,3169.31,4.2,2,0.14
PROD000071,SELL03040,Books Product Voluptate,Books,Comics,517.72,4.0,4,0.03
PROD000072,SELL00916,Electronics Product Assumenda,Electronics,Laptops,99160.22,4.3,1,0.18
PROD000073,SELL02872,Home & Kitchen Product Est,Home & Kitchen,Appliances,23845.68,3.1,8,0.1
PROD000074,SELL03547,Sports Product Accusamus,Sports,Team Sports,6703.24,2.9,7,0.12
PROD000075,SELL00205,Fashion Product Excepturi,Fashion,Mens Clothing,7309.4,4.6,2,0.22
PROD000076,SELL02656,Sports Product Mollitia,Sports,Team Sports,14804.0,3.8,2,0.12
PROD000077,SELL00868,Electronics Product Earum,Electronics,Headphones,59562.65,3.8,5,0.18
PROD000078,SELL02848,Fashion Product Dolore,Fashion,Accessories,1747.32,4.0,2,0.22
PROD000079,SELL01177,Electronics Product Nesciunt,Electronics,Tablets,103088.69,3.6,7,0.18
PROD000080,SELL00323,Home & Kitchen Product Exercitationem,Home & Kitchen,Cookware,6426.93,3.4,8,0.1
PROD000081,SELL04950,Fashion Product Laborum,Fashion,Mens Clothing,2603.6,3.0,6,0.22
PROD000082,SELL01956,Home & Kitchen Product Placeat,Home & Kitchen,Furniture,14052.82,4.1,7,0.1
PROD000083,SELL01536,Electronics Product Ea,Electronics,Tablets,79368.09,3.3,5,0.18
PROD000084,SELL02317,Grocery Product Cupiditate,Grocery,Snacks,709.08,5.0,1,0.02
PROD000085,SELL01592,Toys Product Sit,Toys,Board Games,4264.31,3.8,9,0.14
PROD000086,SELL02761,Toys Product Debitis,Toys,Action Figures,4681.36,4.6,4,0.14
PROD000087,SELL04325,Electronics Product Error,Electronics,Cameras,5684.88,3.6,3,0.18
PROD000088,SELL00424,Books Product Possimus,Books,Comics,435.89,3.9,8,0.03
PROD000089,SELL04838,Home & Kitchen Product Fugiat,Home & Kitchen,Appliances,16156.88,3.7,9,0.1
PROD000090,SELL00188,Sports Product Quia,Sports,Outdoor,14267.34,2.2,3,0.12
PROD000091,SELL01734,Electronics Product Ipsum,Electronics,Smartphones,61032.13,3.4,2,0.18
PROD000092,SELL03924,Electronics Product Voluptate,Electronics,Cameras,51931.72,3.0,4,0.18
PROD000093,SELL00608,Electronics Product Tempora,Electronics,Tablets,116665.81,4.6,4,0.18
PROD000094,SELL01233,Home & Kitchen Product Odio,Home & Kitchen,Decor,17080.61,4.0,3,0.1
PROD000095,SELL03334,Electronics Product Blanditiis,Electronics,Tablets,12155.43,4.1,3,0.18
PROD000096,SELL04742,Toys Product Possimus,Toys,Action Figures,2733.46,3.4,6,0.14
PROD000097,SELL00567,Electronics Product Consectetur,Electronics,Smartphones,103636.71,4.2,7,0.18
PROD000098,SELL02998,Beauty Product Non,Beauty,Skincare,993.73,4.1,6,0.08
PROD000099,SELL01245,Fashion Product Eligendi,Fashion,Mens Clothing,4759.98,4.7,7,0.22
PROD000100,SELL00327,Electronics Product Impedit,Electronics,Laptops,12961.9,4.1,3,0.18
PROD000101,SELL02619,Books Product Libero,Books,Non-Fiction,403.31,4.0,3,0.03
PROD000102,SELL04685,Fashion Product Occaecati,Fashion,Mens Clothing,302.0,4.2,9,0.22
PROD000103,SELL00101,Grocery Product A,Grocery,Staples,630.96,2.5,1,0.02
PROD000104,SELL03178,Sports Product Vel,Sports,Fitness,4019.08,5.0,7,0.12
PROD000105,SELL00824,Home & Kitchen Product Minus,Home & Kitchen,Cookware,23326.59,4.1,1,0.1
PROD000106,SELL02769,Grocery Product Nihil,Grocery,Beverages,54.24,3.4,5,0.02
PROD000107,SELL04059,Fashion Product Consequuntur,Fashion,Footwear,7136.74,3.0,2,0.22
PROD000108,SELL02247,Grocery Product Explicabo,Grocery,Beverages,943.8,3.7,8,0.02
PROD000109,SELL03385,Home & Kitchen Product Atque,Home & Kitchen,Cookware,1065.52,4.5,1,0.1
PROD000110,SELL01678,Home & Kitchen Product Omnis,Home & Kitchen,Appliances,10948.89,5.0,1,0.1
PROD000111,SELL01205,Toys Product Rerum,Toys,Action Figures,4536.46,4.6,9,0.14
PROD000112,SELL03685,Electronics Product Blanditiis,Electronics,Tablets,118602.61,4.5,1,0.18
PROD000113,SELL02336,Books Product Fuga,Books,Non-Fiction,159.18,4.3,3,0.03
PROD000114,SELL02417,Electronics Product Neque,Electronics,Headphones,139407.51,2.9,3,0.18
PROD000115,SELL03722,Fashion Product Tempora,Fashion,Accessories,1364.07,4.1,9,0.22
PROD000116,SELL00735,Books Product Quod,Books,Academic,948.66,4.0,6,0.03
PROD000117,SELL03611,Electronics Product Voluptatum,Electronics,Cameras,103450.96,4.7,3,0.18
PROD000118,SELL03515,Sports Product Fugiat,Sports,Fitness,2270.63,3.3,2,0.12
PROD000119,SELL03540,Fashion Product Dolore,Fashion,Womens Clothing,5600.57,3.3,9,0.22
PROD000120,SELL02484,Grocery Product Saepe,Grocery,Health Foods,933.9,3.9,6,0.02
PROD000121,SELL02780,Electronics Product Optio,Electronics,Tablets,94765.17,3.8,1,0.18
PROD000122,SELL03899,Home & Kitchen Product Veniam,Home & Kitchen,Furniture,2348.31,4.8,5,0.1
PROD000123,SELL03820,Electronics Product Quam,Electronics,Smartphones,36245.06,4.3,7,0.18
PROD000124,SELL04337,Home & Kitchen Product Porro,Home & Kitchen,Furniture,12369.0,4.4,8,0.1
PROD000125,SELL03957,Fashion Product Culpa,Fashion,Footwear,3442.54,4.4,3,0.22
PROD000126,SELL00239,Electronics Product Nobis,Electronics,Tablets,76282.77,3.2,4,0.18
PROD000127,SELL01117,Electronics Product Exercitationem,Electronics,Cameras,76307.7,3.6,2,0.18
PROD000128,SELL01807,Fashion Product A,Fashion,Womens Clothing,4840.58,4.4,7,0.22
PROD000129,SELL00905,Fashion Product Sint,Fashion,Womens Clothing,7112.23,3.8,1,0.22
PROD000130,SELL03005,Electronics Product Cum,Electronics,Laptops,127898.74,3.5,1,0.18
PROD000131,SELL02778,Grocery Product Accusamus,Grocery,Beverages,656.84,5.0,4,0.02
PROD000132,SELL01381,Electronics Product Consequuntur,Electronics,Laptops,121205.15,4.0,2,0.18
PROD000133,SELL02417,Home & Kitchen Product Cupiditate,Home & Kitchen,Appliances,4809.16,3.9,2,0.1
PROD000134,SELL04740,Fashion Product Neque,Fashion,Womens Clothing,1156.13,4.3,5,0.22
PROD000135,SELL03140,Home & Kitchen Product Dolor,Home & Kitchen,Decor,13319.06,4.9,9,0.1
PROD000136,SELL02546,Books Product Nemo,Books,Fiction,685.39,3.7,1,0.03
PROD000137,SELL04840,Electronics Product Et,Electronics,Smartphones,49193.93,3.1,7,0.18
PROD000138,SELL03034,Toys Product Maxime,Toys,Outdoor Toys,4638.51,3.2,8,0.14
PROD000139,SELL01935,Electronics Product Illo,Electronics,Headphones,20553.53,4.7,2,0.18
PROD000140,SELL04757,Grocery Product Numquam,Grocery,Snacks,300.39,4.6,8,0.02
PROD000141,SELL03726,Electronics Product Ex,Electronics,Headphones,144691.07,4.0,7,0.18
PROD000142,SELL04828,Fashion Product Earum,Fashion,Accessories,6243.04,4.3,6,0.22
PROD000143,SELL04396,Fashion Product Temporibus,Fashion,Mens Clothing,1843.35,4.0,9,0.22
PROD000144,SELL03438,Home & Kitchen Product Quis,Home & Kitchen,Decor,9538.31,4.1,2,0.1
PROD000145,SELL03802,Sports Product Sit,Sports,Fitness,10976.6,3.4,8,0.12
PROD000146,SELL02587,Home & Kitchen Product Exercitationem,Home & Kitchen,Cookware,22990.63,3.3,9,0.1
PROD000147,SELL00580,Electronics Product Dolor,Electronics,Smartphones,41713.02,4.2,9,0.18
PROD000148,SELL04153,Home & Kitchen Product Ullam,Home & Kitchen,Furniture,23759.39,3.9,1,0.1
PROD000149,SELL04781,Books Product Aliquid,Books,Academic,657.75,3.8,3,0.03
PROD000150,SELL01703,Toys Product Alias,Toys,Action Figures,2111.18,2.7,4,0.14
PROD000151,SELL04682,Fashion Product Repellendus,Fashion,Mens Clothing,7618.22,4.1,1,0.22
PROD000152,SELL01593,Home & Kitchen Product Facilis,Home & Kitchen,Cookware,23219.16,4.5,9,0.1
PROD000153,SELL03984,Books Product Sit,Books,Academic,464.89,3.3,5,0.03
PROD000154,SELL03041,Home & Kitchen Product Ab,Home & Kitchen,Appliances,9346.37,4.3,4,0.1
PROD000155,SELL02774,Electronics Product Soluta,Electronics,Tablets,147209.51,3.4,1,0.18
PROD000156,SELL01404,Fashion Product Iste,Fashion,Mens Clothing,6683.86,3.4,8,0.22
PROD000157,SELL01719,Fashion Product Sint,Fashion,Mens Clothing,3832.2,2.5,3,0.22
PROD000158,SELL03648,Books Product Dicta,Books,Non-Fiction,688.4,2.6,1,0.03
PROD000159,SELL04532,Home & Kitchen Product Perferendis,Home & Kitchen,Furniture,8152.25,2.9,6,0.1
PROD000160,SELL04002,Fashion Product Dolorem,Fashion,Footwear,7692.6,3.9,6,0.22
PROD000161,SELL01063,Electronics Product Modi,Electronics,Laptops,57809.3,4.0,9,0.18
PROD000162,SELL02877,Sports Product Beatae,Sports,Outdoor,2374.28,4.6,3,0.12
PROD000163,SELL03303,Beauty Product Culpa,Beauty,Haircare,4385.61,3.9,8,0.08
PROD000164,SELL02198,Home & Kitchen Product Odit,Home & Kitchen,Appliances,14882.22,2.6,6,0.1
PROD000165,SELL03398,Home & Kitchen Product Quaerat,Home & Kitchen,Appliances,18228.32,3.8,1,0.1
PROD000166,SELL04188,Home & Kitchen Product Quidem,Home & Kitchen,Appliances,22299.34,3.5,5,0.1
PROD000167,SELL02941,Toys Product Ipsa,Toys,Action Figures,3851.9,4.2,6,0.14
PROD000168,SELL00785,Sports Product Dolores,Sports,Fitness,9679.32,3.1,6,0.12
PROD000169,SELL03481,Toys Product Saepe,Toys,Board Games,2311.73,3.7,8,0.14
PROD000170,SELL03302,Fashion Product Tempore,Fashion,Mens Clothing,6588.47,3.6,3,0.22
PROD000171,SELL04241,Grocery Product Laboriosam,Grocery,Snacks,207.56,3.1,8,0.02
PROD000172,SELL04348,Grocery Product Rem,Grocery,Beverages,933.52,3.7,2,0.02
PROD000173,SELL01731,Fashion Product Quos,Fashion,Womens Clothing,5521.3,3.8,6,0.22
PROD000174,SELL00307,Home & Kitchen Product Beatae,Home & Kitchen,Decor,9228.2,5.0,9,0.1
PROD000175,SELL03793,Grocery Product Dolorem,Grocery,Staples,926.52,3.5,5,0.02
PROD000176,SELL01010,Sports Product Impedit,Sports,Outdoor,10324.59,5.0,7,0.12
PROD000177,SELL02608,Fashion Product Nobis,Fashion,Mens Clothing,2401.65,2.7,4,0.22
PROD000178,SELL00881,Home & Kitchen Product Praesentium,Home & Kitchen,Cookware,13343.82,2.9,8,0.1
PROD000179,SELL03750,Fashion Product Placeat,Fashion,Footwear,2895.06,3.8,8,0.22
PROD000180,SELL00879,Sports Product Exercitationem,Sports,Outdoor,7117.93,4.5,2,0.12
PROD000181,SELL00279,Beauty Product Molestiae,Beauty,Haircare,2258.03,4.0,7,0.08
PROD000182,SELL04320,Toys Product Deserunt,Toys,Outdoor Toys,2463.8,2.5,6,0.14
PROD000183,SELL02807,Grocery Product Neque,Grocery,Staples,560.52,4.0,3,0.02
PROD000184,SELL01555,Electronics Product Esse,Electronics,Headphones,13226.9,3.3,6,0.18
PROD000185,SELL03191,Sports Product Eius,Sports,Yoga,8250.12,4.0,8,0.12
PROD000186,SELL02658,Home & Kitchen Product Dolore,Home & Kitchen,Decor,10765.4,3.7,7,0.1
PROD000187,SELL00405,Toys Product Officiis,Toys,Educational,4341.58,4.0,9,0.14
PROD000188,SELL03509,Fashion Product Commodi,Fashion,Accessories,3739.73,4.1,6,0.22
PROD000189,SELL00463,Beauty Product Ut,Beauty,Fragrances,3140.58,3.7,9,0.08
PROD000190,SELL01224,Home & Kitchen Product Accusantium,Home & Kitchen,Furniture,24265.83,3.9,4,0.1
PROD000191,SELL04720,Books Product Eos,Books,Fiction,256.7,3.5,1,0.03
PROD000192,SELL04323,Electronics Product Magnam,Electronics,Smartphones,71479.69,4.1,6,0.18
PROD000193,SELL02816,Fashion Product Pariatur,Fashion,Footwear,1698.91,4.1,4,0.22
PROD000194,SELL04520,Fashion Product Quae,Fashion,Mens Clothing,3319.29,3.9,3,0.22
PROD000195,SELL02523,Beauty Product Esse,Beauty,Makeup,1486.56,4.6,3,0.08
PROD000196,SELL03725,Beauty Product Perferendis,Beauty,Haircare,3864.77,3.2,1,0.08
PROD000197,SELL00302,Books Product A,Books,Academic,462.57,2.5,3,0.03
PROD000198,SELL04395,Grocery Product Eos,Grocery,Beverages,77.01,3.9,9,0.02
PROD000199,SELL02275,Fashion Product Alias,Fashion,Accessories,7736.65,2.7,6,0.22
PROD000200,SELL03841,Sports Product Voluptas,Sports,Fitness,9174.81,4.9,3,0.12
PROD000201,SELL04204,Books Product Quam,Books,Comics,107.14,2.9,7,0.03
PROD000202,SELL03220,Electronics Product Repudiandae,Electronics,Tablets,105826.85,4.5,5,0.18
PROD000203,SELL01886,Home & Kitchen Product Laborum,Home & Kitchen,Cookware,8751.14,3.8,6,0.1
PROD000204,SELL04727,Electronics Product Numquam,Electronics,Laptops,20482.86,4.3,7,0.18
PROD000205,SELL02940,Fashion Product Molestiae,Fashion,Footwear,1129.32,3.3,5,0.22
PROD000206,SELL03213,Fashion Product Fugit,Fashion,Mens Clothing,1732.25,3.2,4,0.22
PROD000207,SELL04784,Books Product Occaecati,Books,Non-Fiction,738.06,4.1,2,0.03
PROD000208,SELL04359,Sports Product Commodi,Sports,Yoga,1621.84,4.0,7,0.12
PROD000209,SELL00040,Home & Kitchen Product Eveniet,Home & Kitchen,Furniture,6881.68,2.2,8,0.1
PROD000210,SELL02354,Sports Product Cum,Sports,Yoga,1330.13,3.4,3,0.12
PROD000211,SELL04059,Fashion Product Placeat,Fashion,Footwear,7335.14,3.8,7,0.22
PROD000212,SELL00684,Sports Product Expedita,Sports,Team Sports,2382.28,4.3,5,0.12
PROD000213,SELL01659,Electronics Product Ipsam,Electronics,Tablets,87961.15,3.8,4,0.18
PROD000214,SELL04617,Fashion Product At,Fashion,Mens Clothing,7043.74,3.5,8,0.22
PROD000215,SELL04450,Books Product In,Books,Non-Fiction,435.44,3.5,3,0.03
PROD000216,SELL01686,Electronics Product Velit,Electronics,Headphones,112586.75,3.2,5,0.18
PROD000217,SELL03935,Books Product Sint,Books,Comics,981.58,4.8,6,0.03
PROD000218,SELL00160,Electronics Product Autem,Electronics,Headphones,68496.9,4.0,1,0.18
PROD000219,SELL00434,Electronics Product Repudiandae,Electronics,Headphones,11725.01,3.8,8,0.18
PROD000220,SELL03273,Electronics Product Quisquam,Electronics,Tablets,90121.53,3.1,5,0.18
PROD000221,SELL03409,Sports Product Reiciendis,Sports,Yoga,12208.33,4.7,1,0.12
PROD000222,SELL00115,Electronics Product Quos,Electronics,Headphones,23274.92,5.0,4,0.18
PROD000223,SELL01732,Beauty Product Perferendis,Beauty,Fragrances,2674.56,3.4,6,0.08
PROD000224,SELL03473,Books Product Facilis,Books,Comics,784.35,4.2,4,0.03
PROD000225,SELL02485,Fashion Product Excepturi,Fashion,Footwear,6196.99,4.0,2,0.22
PROD000226,SELL02236,Books Product Sequi,Books,Comics,764.38,3.9,1,0.03
PROD000227,SELL04495,Beauty Product Quaerat,Beauty,Fragrances,3856.03,4.0,7,0.08
PROD000228,SELL05000,Home & Kitchen Product Eveniet,Home & Kitchen,Appliances,13232.44,3.8,3,0.1
PROD000229,SELL03462,Books Product Ad,Books,Comics,836.39,3.8,1,0.03
PROD000230,SELL03392,Electronics Product Ipsam,Electronics,Laptops,91673.23,2.7,5,0.18
PROD000231,SELL01292,Beauty Product Non,Beauty,Skincare,4775.7,3.2,3,0.08
PROD000232,SELL03169,Home & Kitchen Product Totam,Home & Kitchen,Appliances,7678.16,3.5,2,0.1
PROD000233,SELL02994,Electronics Product Fuga,Electronics,Headphones,126380.05,4.1,8,0.18
PROD000234,SELL02769,Electronics Product Amet,Electronics,Headphones,93770.92,3.2,2,0.18
PROD000235,SELL01039,Books Product Porro,Books,Fiction,784.44,4.1,8,0.03
PROD000236,SELL02814,Sports Product Atque,Sports,Team Sports,6631.06,4.1,1,0.12
PROD000237,SELL04573,Sports Product Velit,Sports,Outdoor,10750.15,4.8,9,0.12
PROD000238,SELL02895,Home & Kitchen Product Ipsum,Home & Kitchen,Cookware,19389.05,3.5,6,0.1
PROD000239,SELL00055,Grocery Product Molestias,Grocery,Health Foods,685.72,4.1,6,0.02
PROD000240,SELL01216,Home & Kitchen Product Explicabo,Home & Kitchen,Decor,15986.66,4.6,3,0.1
PROD000241,SELL04385,Toys Product Officiis,Toys,Educational,4274.27,4.0,3,0.14
PROD000242,SELL00113,Grocery Product Soluta,Grocery,Staples,941.13,4.1,6,0.02
PROD000243,SELL01200,Electronics Product Corrupti,Electronics,Cameras,135096.85,4.6,7,0.18
PROD000244,SELL00795,Beauty Product Repudiandae,Beauty,Fragrances,596.54,3.1,8,0.08
PROD000245,SELL00851,Electronics Product Labore,Electronics,Headphones,87503.4,3.6,1,0.18
PROD000246,SELL01881,Electronics Product Libero,Electronics,Smartphones,20661.25,3.8,5,0.18
PROD000247,SELL00928,Sports Product Delectus,Sports,Outdoor,9860.52,3.5,4,0.12
PROD000248,SELL00766,Electronics Product Quas,Electronics,Cameras,30426.65,3.3,4,0.18
PROD000249,SELL01330,Electronics Product Totam,Electronics,Cameras,99731.94,3.4,2,0.18
PROD000250,SELL03128,Home & Kitchen Product Voluptates,Home & Kitchen,Decor,22593.73,3.7,2,0.1
PROD000251,SELL02794,Fashion Product Atque,Fashion,Accessories,3833.2,3.9,3,0.22
PROD000252,SELL02679,Electronics Product Dolorem,Electronics,Headphones,143929.4,4.7,1,0.18
PROD000253,SELL04899,Toys Product Repellat,Toys,Action Figures,2801.55,4.6,8,0.14
PROD000254,SELL01536,Electronics Product Officiis,Electronics,Laptops,103375.85,3.8,5,0.18
PROD000255,SELL04608,Electronics Product Laudantium,Electronics,Cameras,138501.69,3.7,1,0.18
PROD000256,SELL03191,Books Product Harum,Books,Fiction,715.16,4.4,3,0.03
PROD000257,SELL04064,Books Product Quis,Books,Academic,253.3,3.7,6,0.03
PROD000258,SELL04471,Electronics Product Corrupti,Electronics,Headphones,15973.55,4.0,5,0.18
PROD000259,SELL04894,Home & Kitchen Product Ipsum,Home & Kitchen,Decor,8961.69,3.7,3,0.1
PROD000260,SELL01953,Home & Kitchen Product Mollitia,Home & Kitchen,Furniture,11732.3,3.0,4,0.1
PROD000261,SELL04819,Electronics Product Tempora,Electronics,Smartphones,34482.94,4.2,7,0.18
PROD000262,SELL00117,Fashion Product At,Fashion,Mens Clothing,1810.87,3.8,4,0.22
PROD000263,SELL00745,Fashion Product In,Fashion,Accessories,3155.49,3.2,7,0.22
PROD000264,SELL01536,Fashion Product Corrupti,Fashion,Mens Clothing,7397.5,2.8,3,0.22
PROD000265,SELL00062,Home & Kitchen Product Facere,Home & Kitchen,Decor,13939.02,4.2,7,0.1
PROD000266,SELL01822,Electronics Product Voluptatibus,Electronics,Headphones,41458.0,3.1,5,0.18
PROD000267,SELL01628,Electronics Product Dignissimos,Electronics,Cameras,101492.02,3.5,4,0.18
PROD000268,SELL01293,Grocery Product Dolorem,Grocery,Snacks,304.88,3.2,5,0.02
PROD000269,SELL01368,Home & Kitchen Product Inventore,Home & Kitchen,Appliances,4332.72,4.7,3,0.1
PROD000270,SELL02888,Home & Kitchen Product Alias,Home & Kitchen,Decor,2588.26,3.4,6,0.1
PROD000271,SELL03853,Electronics Product Accusamus,Electronics,Tablets,101626.47,3.8,4,0.18
PROD000272,SELL03027,Beauty Product Numquam,Beauty,Fragrances,3303.05,5.0,5,0.08
PROD000273,SELL01994,Fashion Product Nihil,Fashion,Womens Clothing,6039.34,4.4,6,0.22
PROD000274,SELL04394,Electronics Product Consequuntur,Electronics,Tablets,14022.64,3.2,1,0.18
PROD000275,SELL01784,Home & Kitchen Product Sapiente,Home & Kitchen,Cookware,12790.13,3.7,1,0.1
PROD000276,SELL00915,Sports Product Voluptatibus,Sports,Fitness,1111.75,4.2,4,0.12
PROD000277,SELL00324,Fashion Product Totam,Fashion,Womens Clothing,1615.74,4.2,1,0.22
PROD000278,SELL00495,Toys Product Vero,Toys,Educational,2965.18,4.7,9,0.14
PROD000279,SELL00063,Books Product Deserunt,Books,Academic,910.36,4.1,3,0.03
PROD000280,SELL03377,Home & Kitchen Product Omnis,Home & Kitchen,Cookware,5515.84,4.9,2,0.1
PROD000281,SELL02378,Toys Product Impedit,Toys,Action Figures,4948.14,4.4,6,0.14
PROD000282,SELL01304,Books Product In,Books,Academic,718.29,4.3,8,0.03
PROD000283,SELL03018,Electronics Product Quo,Electronics,Laptops,131498.23,4.6,2,0.18
PROD000284,SELL03887,Fashion Product Porro,Fashion,Mens Clothing,5555.96,3.6,4,0.22
